episode,method,success,length
0,baseline,0,200
1,baseline,0,200
2,baseline,0,200
3,baseline,0,200
4,baseline,0,200
5,baseline,0,200
6,baseline,0,200
7,baseline,0,200
8,baseline,0,200
9,baseline,0,200
10,baseline,0,200
11,baseline,0,200
12,baseline,0,200
13,baseline,0,200
14,baseline,1,72
15,baseline,0,200
16,baseline,0,200
17,baseline,0,200
18,baseline,0,200
19,baseline,0,200
20,baseline,1,70
21,baseline,1,161
22,baseline,0,200
23,baseline,0,200
24,baseline,0,200
25,baseline,0,200
26,baseline,0,200
27,baseline,0,200
28,baseline,0,200
29,baseline,0,200
30,baseline,0,200
31,baseline,0,200
32,baseline,0,200
33,baseline,0,200
34,baseline,0,200
35,baseline,0,200
36,baseline,0,200
37,baseline,0,200
38,baseline,0,200
39,baseline,1,73
40,baseline,0,200
41,baseline,0,200
42,baseline,0,200
43,baseline,0,200
44,baseline,0,200
45,baseline,0,200
46,baseline,0,200
47,baseline,0,200
48,baseline,0,200
49,baseline,0,200
50,baseline,0,200
51,baseline,0,200
52,baseline,0,200
53,baseline,1,64
54,baseline,0,200
55,baseline,0,200
56,baseline,0,200
57,baseline,0,200
58,baseline,0,200
59,baseline,0,200
60,baseline,1,108
61,baseline,0,200
62,baseline,0,200
63,baseline,0,200
64,baseline,0,200
65,baseline,0,200
66,baseline,0,200
67,baseline,0,200
68,baseline,1,67
69,baseline,1,146
70,baseline,0,200
71,baseline,0,200
72,baseline,0,200
73,baseline,1,76
74,baseline,0,200
75,baseline,0,200
76,baseline,0,200
77,baseline,0,200
78,baseline,0,200
79,baseline,0,200
80,baseline,0,200
81,baseline,0,200
82,baseline,0,200
83,baseline,0,200
84,baseline,0,200
85,baseline,0,200
86,baseline,0,200
87,baseline,1,198
88,baseline,0,200
89,baseline,0,200
90,baseline,0,200
91,baseline,0,200
92,baseline,0,200
93,baseline,0,200
94,baseline,0,200
95,baseline,0,200
96,baseline,0,200
97,baseline,0,200
98,baseline,0,200
99,baseline,1,64
0,oracle_binary_k8_tau5,0,200
1,oracle_binary_k8_tau5,1,64
2,oracle_binary_k8_tau5,1,108
3,oracle_binary_k8_tau5,0,200
4,oracle_binary_k8_tau5,1,147
5,oracle_binary_k8_tau5,1,145
6,oracle_binary_k8_tau5,0,200
7,oracle_binary_k8_tau5,0,200
8,oracle_binary_k8_tau5,1,151
9,oracle_binary_k8_tau5,0,200
10,oracle_binary_k8_tau5,0,200
11,oracle_binary_k8_tau5,0,200
12,oracle_binary_k8_tau5,1,170
13,oracle_binary_k8_tau5,0,200
14,oracle_binary_k8_tau5,1,65
15,oracle_binary_k8_tau5,0,200
16,oracle_binary_k8_tau5,0,200
17,oracle_binary_k8_tau5,0,200
18,oracle_binary_k8_tau5,1,75
19,oracle_binary_k8_tau5,0,200
20,oracle_binary_k8_tau5,0,200
21,oracle_binary_k8_tau5,0,200
22,oracle_binary_k8_tau5,0,200
23,oracle_binary_k8_tau5,1,62
24,oracle_binary_k8_tau5,1,67
25,oracle_binary_k8_tau5,0,200
26,oracle_binary_k8_tau5,1,62
27,oracle_binary_k8_tau5,1,150
28,oracle_binary_k8_tau5,1,69
29,oracle_binary_k8_tau5,0,200
30,oracle_binary_k8_tau5,1,65
31,oracle_binary_k8_tau5,1,77
32,oracle_binary_k8_tau5,1,62
33,oracle_binary_k8_tau5,1,67
34,oracle_binary_k8_tau5,1,108
35,oracle_binary_k8_tau5,0,200
36,oracle_binary_k8_tau5,0,200
37,oracle_binary_k8_tau5,1,200
38,oracle_binary_k8_tau5,0,200
39,oracle_binary_k8_tau5,1,118
40,oracle_binary_k8_tau5,0,200
41,oracle_binary_k8_tau5,1,57
42,oracle_binary_k8_tau5,1,197
43,oracle_binary_k8_tau5,1,152
44,oracle_binary_k8_tau5,0,200
45,oracle_binary_k8_tau5,1,165
46,oracle_binary_k8_tau5,1,116
47,oracle_binary_k8_tau5,0,200
48,oracle_binary_k8_tau5,1,63
49,oracle_binary_k8_tau5,0,200
50,oracle_binary_k8_tau5,0,200
51,oracle_binary_k8_tau5,1,148
52,oracle_binary_k8_tau5,0,200
53,oracle_binary_k8_tau5,0,200
54,oracle_binary_k8_tau5,0,200
55,oracle_binary_k8_tau5,1,144
56,oracle_binary_k8_tau5,1,66
57,oracle_binary_k8_tau5,1,60
58,oracle_binary_k8_tau5,0,200
59,oracle_binary_k8_tau5,1,68
60,oracle_binary_k8_tau5,0,200
61,oracle_binary_k8_tau5,0,200
62,oracle_binary_k8_tau5,0,200
63,oracle_binary_k8_tau5,1,148
64,oracle_binary_k8_tau5,0,200
65,oracle_binary_k8_tau5,1,149
66,oracle_binary_k8_tau5,0,200
67,oracle_binary_k8_tau5,0,200
68,oracle_binary_k8_tau5,0,200
69,oracle_binary_k8_tau5,1,62
70,oracle_binary_k8_tau5,0,200
71,oracle_binary_k8_tau5,0,200
72,oracle_binary_k8_tau5,0,200
73,oracle_binary_k8_tau5,1,159
74,oracle_binary_k8_tau5,1,62
75,oracle_binary_k8_tau5,0,200
76,oracle_binary_k8_tau5,0,200
77,oracle_binary_k8_tau5,0,200
