episode,method,success,length
0,baseline,0,200
1,baseline,0,200
2,baseline,0,200
3,baseline,1,189
4,baseline,1,109
5,baseline,0,200
6,baseline,0,200
7,baseline,0,200
8,baseline,0,200
9,baseline,0,200
10,baseline,0,200
11,baseline,0,200
12,baseline,0,200
13,baseline,0,200
14,baseline,0,200
15,baseline,0,200
16,baseline,0,200
17,baseline,0,200
18,baseline,0,200
19,baseline,0,200
20,baseline,1,152
21,baseline,0,200
22,baseline,1,185
23,baseline,0,200
24,baseline,0,200
25,baseline,1,56
26,baseline,0,200
27,baseline,0,200
28,baseline,0,200
29,baseline,0,200
30,baseline,1,111
31,baseline,0,200
32,baseline,0,200
33,baseline,0,200
34,baseline,0,200
35,baseline,0,200
36,baseline,0,200
37,baseline,0,200
38,baseline,0,200
39,baseline,0,200
40,baseline,0,200
41,baseline,0,200
42,baseline,0,200
43,baseline,0,200
44,baseline,0,200
45,baseline,0,200
46,baseline,0,200
47,baseline,1,139
48,baseline,0,200
49,baseline,0,200
0,oracle_lookahead_k8,1,102
1,oracle_lookahead_k8,1,187
2,oracle_lookahead_k8,0,200
3,oracle_lookahead_k8,0,200
4,oracle_lookahead_k8,1,60
5,oracle_lookahead_k8,0,200
6,oracle_lookahead_k8,1,56
7,oracle_lookahead_k8,1,138
8,oracle_lookahead_k8,1,49
9,oracle_lookahead_k8,1,172
10,oracle_lookahead_k8,1,99
11,oracle_lookahead_k8,1,93
12,oracle_lookahead_k8,1,61
13,oracle_lookahead_k8,0,200
14,oracle_lookahead_k8,0,200
15,oracle_lookahead_k8,0,200
16,oracle_lookahead_k8,1,195
17,oracle_lookahead_k8,1,95
18,oracle_lookahead_k8,1,61
19,oracle_lookahead_k8,1,184
20,oracle_lookahead_k8,1,175
21,oracle_lookahead_k8,1,55
22,oracle_lookahead_k8,1,177
23,oracle_lookahead_k8,1,141
24,oracle_lookahead_k8,1,72
25,oracle_lookahead_k8,1,127
26,oracle_lookahead_k8,0,200
27,oracle_lookahead_k8,1,100
28,oracle_lookahead_k8,1,62
29,oracle_lookahead_k8,0,200
30,oracle_lookahead_k8,1,88
31,oracle_lookahead_k8,1,56
32,oracle_lookahead_k8,1,58
33,oracle_lookahead_k8,0,200
34,oracle_lookahead_k8,1,147
35,oracle_lookahead_k8,1,121
36,oracle_lookahead_k8,1,128
37,oracle_lookahead_k8,0,200
38,oracle_lookahead_k8,1,196
39,oracle_lookahead_k8,0,200
40,oracle_lookahead_k8,1,56
41,oracle_lookahead_k8,1,158
42,oracle_lookahead_k8,1,60
43,oracle_lookahead_k8,1,56
44,oracle_lookahead_k8,1,60
45,oracle_lookahead_k8,0,200
46,oracle_lookahead_k8,0,200
47,oracle_lookahead_k8,1,59
48,oracle_lookahead_k8,1,96
49,oracle_lookahead_k8,0,200

summary,method,success_rate,success_count,avg_length,num_episodes
,baseline,0.1400,7,190.8,50
,oracle_lookahead_k8,0.7200,36,132.0,50
