episode,method,success,length
0,baseline,0,200
1,baseline,0,200
2,baseline,0,200
3,baseline,0,200
4,baseline,0,200
5,baseline,0,200
6,baseline,0,200
7,baseline,0,200
8,baseline,0,200
9,baseline,0,200
10,baseline,1,138
11,baseline,1,140
12,baseline,0,200
13,baseline,0,200
14,baseline,0,200
15,baseline,0,200
16,baseline,0,200
17,baseline,0,200
18,baseline,1,118
19,baseline,1,159
20,baseline,0,200
21,baseline,0,200
22,baseline,0,200
23,baseline,0,200
24,baseline,1,59
25,baseline,0,200
26,baseline,0,200
27,baseline,0,200
28,baseline,0,200
29,baseline,0,200
30,baseline,0,200
31,baseline,1,61
32,baseline,0,200
33,baseline,0,200
34,baseline,1,67
35,baseline,0,200
36,baseline,0,200
37,baseline,0,200
38,baseline,0,200
39,baseline,1,114
40,baseline,0,200
41,baseline,0,200
42,baseline,0,200
43,baseline,0,200
44,baseline,0,200
45,baseline,0,200
46,baseline,0,200
47,baseline,1,198
48,baseline,0,200
49,baseline,1,158
50,baseline,0,200
51,baseline,0,200
52,baseline,0,200
53,baseline,0,200
54,baseline,0,200
55,baseline,0,200
56,baseline,0,200
57,baseline,0,200
58,baseline,1,72
59,baseline,0,200
60,baseline,0,200
61,baseline,1,154
62,baseline,0,200
63,baseline,0,200
64,baseline,0,200
65,baseline,0,200
66,baseline,0,200
67,baseline,0,200
68,baseline,0,200
69,baseline,0,200
70,baseline,0,200
71,baseline,0,200
72,baseline,0,200
73,baseline,0,200
74,baseline,0,200
75,baseline,0,200
76,baseline,0,200
77,baseline,0,200
78,baseline,0,200
79,baseline,0,200
80,baseline,0,200
81,baseline,0,200
82,baseline,0,200
83,baseline,0,200
84,baseline,0,200
85,baseline,0,200
86,baseline,0,200
87,baseline,0,200
88,baseline,0,200
89,baseline,0,200
90,baseline,1,134
91,baseline,0,200
92,baseline,0,200
93,baseline,0,200
94,baseline,0,200
95,baseline,0,200
96,baseline,0,200
97,baseline,0,200
98,baseline,0,200
99,baseline,1,74
0,oracle_lookahead_k8,1,93
1,oracle_lookahead_k8,0,200
2,oracle_lookahead_k8,1,106
3,oracle_lookahead_k8,0,200
4,oracle_lookahead_k8,1,193
5,oracle_lookahead_k8,1,60
6,oracle_lookahead_k8,0,200
7,oracle_lookahead_k8,1,86
8,oracle_lookahead_k8,1,187
9,oracle_lookahead_k8,0,200
10,oracle_lookahead_k8,1,63
11,oracle_lookahead_k8,0,200
12,oracle_lookahead_k8,1,68
13,oracle_lookahead_k8,1,62
14,oracle_lookahead_k8,1,55
15,oracle_lookahead_k8,1,194
16,oracle_lookahead_k8,0,200
17,oracle_lookahead_k8,1,148
18,oracle_lookahead_k8,1,62
19,oracle_lookahead_k8,0,200
20,oracle_lookahead_k8,0,200
21,oracle_lookahead_k8,1,150
22,oracle_lookahead_k8,1,149
23,oracle_lookahead_k8,1,160
24,oracle_lookahead_k8,1,59
25,oracle_lookahead_k8,1,136
26,oracle_lookahead_k8,0,200
27,oracle_lookahead_k8,0,200
28,oracle_lookahead_k8,0,200
29,oracle_lookahead_k8,1,60
30,oracle_lookahead_k8,0,200
31,oracle_lookahead_k8,1,59
32,oracle_lookahead_k8,0,200
33,oracle_lookahead_k8,1,190
34,oracle_lookahead_k8,1,62
35,oracle_lookahead_k8,0,200
36,oracle_lookahead_k8,1,147
37,oracle_lookahead_k8,0,200
38,oracle_lookahead_k8,1,144
39,oracle_lookahead_k8,1,60
40,oracle_lookahead_k8,1,62
41,oracle_lookahead_k8,1,55
42,oracle_lookahead_k8,0,200
43,oracle_lookahead_k8,1,110
44,oracle_lookahead_k8,1,142
45,oracle_lookahead_k8,0,200
46,oracle_lookahead_k8,1,196
47,oracle_lookahead_k8,0,200
48,oracle_lookahead_k8,1,66
49,oracle_lookahead_k8,0,200
50,oracle_lookahead_k8,1,110
51,oracle_lookahead_k8,1,99
52,oracle_lookahead_k8,1,58
53,oracle_lookahead_k8,0,200
54,oracle_lookahead_k8,1,108
55,oracle_lookahead_k8,1,106
56,oracle_lookahead_k8,1,56
57,oracle_lookahead_k8,0,200
58,oracle_lookahead_k8,0,200
59,oracle_lookahead_k8,1,106
60,oracle_lookahead_k8,0,200
61,oracle_lookahead_k8,0,200
62,oracle_lookahead_k8,0,200
63,oracle_lookahead_k8,1,63
64,oracle_lookahead_k8,1,189
65,oracle_lookahead_k8,1,102
66,oracle_lookahead_k8,0,200
67,oracle_lookahead_k8,1,102
68,oracle_lookahead_k8,1,151
69,oracle_lookahead_k8,1,147
70,oracle_lookahead_k8,1,63
71,oracle_lookahead_k8,0,200
72,oracle_lookahead_k8,1,106
73,oracle_lookahead_k8,0,200
74,oracle_lookahead_k8,1,61
75,oracle_lookahead_k8,1,62
76,oracle_lookahead_k8,1,108
77,oracle_lookahead_k8,1,120
78,oracle_lookahead_k8,1,142
79,oracle_lookahead_k8,1,60
80,oracle_lookahead_k8,1,70
81,oracle_lookahead_k8,0,200
82,oracle_lookahead_k8,1,63
83,oracle_lookahead_k8,1,62
84,oracle_lookahead_k8,1,62
85,oracle_lookahead_k8,0,200
86,oracle_lookahead_k8,0,200
