episode,method,success,length
0,baseline,1,183
1,baseline,0,200
2,baseline,0,200
3,baseline,1,103
4,baseline,0,200
5,baseline,0,200
6,baseline,0,200
7,baseline,0,200
8,baseline,0,200
9,baseline,0,200
10,baseline,1,153
11,baseline,1,65
12,baseline,0,200
13,baseline,0,200
14,baseline,0,200
15,baseline,0,200
16,baseline,0,200
17,baseline,0,200
18,baseline,1,60
19,baseline,0,200
20,baseline,0,200
21,baseline,0,200
22,baseline,0,200
23,baseline,0,200
24,baseline,0,200
25,baseline,0,200
26,baseline,0,200
27,baseline,0,200
28,baseline,0,200
29,baseline,0,200
30,baseline,0,200
31,baseline,0,200
32,baseline,0,200
33,baseline,0,200
34,baseline,0,200
35,baseline,0,200
36,baseline,0,200
37,baseline,0,200
38,baseline,0,200
39,baseline,0,200
40,baseline,1,169
41,baseline,0,200
42,baseline,0,200
43,baseline,0,200
44,baseline,0,200
45,baseline,0,200
46,baseline,0,200
47,baseline,0,200
48,baseline,0,200
49,baseline,0,200
50,baseline,0,200
51,baseline,0,200
52,baseline,1,63
53,baseline,1,157
54,baseline,0,200
55,baseline,0,200
56,baseline,0,200
57,baseline,1,193
58,baseline,0,200
59,baseline,0,200
60,baseline,0,200
61,baseline,0,200
62,baseline,0,200
63,baseline,0,200
64,baseline,0,200
65,baseline,0,200
66,baseline,0,200
67,baseline,1,142
68,baseline,0,200
69,baseline,1,190
70,baseline,0,200
71,baseline,0,200
72,baseline,0,200
73,baseline,0,200
74,baseline,0,200
75,baseline,0,200
76,baseline,0,200
77,baseline,0,200
78,baseline,0,200
79,baseline,0,200
80,baseline,0,200
81,baseline,0,200
82,baseline,0,200
83,baseline,0,200
84,baseline,0,200
85,baseline,0,200
86,baseline,0,200
87,baseline,0,200
88,baseline,0,200
89,baseline,0,200
90,baseline,0,200
91,baseline,1,152
92,baseline,0,200
93,baseline,0,200
94,baseline,0,200
95,baseline,0,200
96,baseline,0,200
97,baseline,0,200
98,baseline,0,200
99,baseline,0,200
0,oracle_lookahead_k8,0,200
1,oracle_lookahead_k8,1,184
2,oracle_lookahead_k8,1,51
3,oracle_lookahead_k8,0,200
4,oracle_lookahead_k8,0,200
5,oracle_lookahead_k8,1,192
6,oracle_lookahead_k8,1,179
7,oracle_lookahead_k8,1,52
8,oracle_lookahead_k8,1,110
9,oracle_lookahead_k8,0,200
10,oracle_lookahead_k8,0,200
11,oracle_lookahead_k8,1,57
12,oracle_lookahead_k8,1,104
13,oracle_lookahead_k8,1,135
14,oracle_lookahead_k8,1,100
15,oracle_lookahead_k8,1,61
16,oracle_lookahead_k8,1,123
17,oracle_lookahead_k8,1,54
18,oracle_lookahead_k8,1,56
19,oracle_lookahead_k8,1,112
20,oracle_lookahead_k8,0,200
21,oracle_lookahead_k8,1,178
22,oracle_lookahead_k8,1,140
23,oracle_lookahead_k8,0,200
24,oracle_lookahead_k8,1,51
25,oracle_lookahead_k8,0,200
26,oracle_lookahead_k8,0,200
27,oracle_lookahead_k8,0,200
28,oracle_lookahead_k8,1,140
29,oracle_lookahead_k8,1,95
30,oracle_lookahead_k8,1,89
31,oracle_lookahead_k8,0,200
32,oracle_lookahead_k8,1,138
33,oracle_lookahead_k8,0,200
34,oracle_lookahead_k8,1,92
35,oracle_lookahead_k8,1,99
36,oracle_lookahead_k8,1,54
37,oracle_lookahead_k8,0,200
38,oracle_lookahead_k8,1,155
39,oracle_lookahead_k8,1,164
40,oracle_lookahead_k8,0,200
41,oracle_lookahead_k8,0,200
42,oracle_lookahead_k8,0,200
43,oracle_lookahead_k8,1,173
44,oracle_lookahead_k8,1,59
45,oracle_lookahead_k8,1,55
46,oracle_lookahead_k8,0,200
47,oracle_lookahead_k8,1,200
48,oracle_lookahead_k8,0,200
49,oracle_lookahead_k8,1,180
50,oracle_lookahead_k8,1,52
51,oracle_lookahead_k8,1,140
52,oracle_lookahead_k8,1,59
53,oracle_lookahead_k8,0,200
54,oracle_lookahead_k8,1,170
55,oracle_lookahead_k8,0,200
56,oracle_lookahead_k8,1,146
57,oracle_lookahead_k8,0,200
58,oracle_lookahead_k8,0,200
59,oracle_lookahead_k8,1,90
60,oracle_lookahead_k8,1,91
61,oracle_lookahead_k8,1,99
62,oracle_lookahead_k8,0,200
63,oracle_lookahead_k8,0,200
64,oracle_lookahead_k8,0,200
65,oracle_lookahead_k8,1,50
66,oracle_lookahead_k8,0,200
67,oracle_lookahead_k8,1,58
68,oracle_lookahead_k8,1,52
69,oracle_lookahead_k8,1,98
70,oracle_lookahead_k8,1,56
71,oracle_lookahead_k8,0,200
72,oracle_lookahead_k8,0,200
73,oracle_lookahead_k8,1,154
74,oracle_lookahead_k8,1,128
75,oracle_lookahead_k8,0,200
76,oracle_lookahead_k8,1,56
77,oracle_lookahead_k8,1,190
78,oracle_lookahead_k8,1,52
79,oracle_lookahead_k8,0,200
80,oracle_lookahead_k8,0,200
81,oracle_lookahead_k8,1,43
82,oracle_lookahead_k8,1,184
83,oracle_lookahead_k8,1,102
84,oracle_lookahead_k8,0,200
85,oracle_lookahead_k8,0,200
86,oracle_lookahead_k8,0,200
87,oracle_lookahead_k8,0,200
88,oracle_lookahead_k8,0,200
89,oracle_lookahead_k8,1,54
90,oracle_lookahead_k8,0,200
91,oracle_lookahead_k8,1,128
92,oracle_lookahead_k8,0,200
93,oracle_lookahead_k8,1,120
94,oracle_lookahead_k8,1,52
95,oracle_lookahead_k8,0,200
96,oracle_lookahead_k8,1,55
97,oracle_lookahead_k8,0,200
98,oracle_lookahead_k8,1,171
99,oracle_lookahead_k8,1,58

summary,method,success_rate,success_count,avg_length,num_episodes
,baseline,0.1200,12,192.3,100
,oracle_lookahead_k8,0.6000,60,143.4,100
